name,calcium,fiber,fruits,legumes,milk,nuts_and_seeds,omega_6_polyunsaturated_fatty_acids,seafood_omega_3_fatty_acids,vegetables,whole_grains
+50–100% beans/lentils,,X,,X,,,,,,
50/50 mix (white+wholegrain),,,,,,,,,,X
Add 150–250g veg per 4p,,X,,,,,,,X,
Add barley (soup/stews),,X,,,,,,,,
Add legumes to sauce,,X,,X,,,,,,
Add seeds mix,,X,,,,X,X,X,,
Apple sauce (up to 30%),,,X,,,,,,,
Avocado purée (partial),,,X,,,,,,,
Brown lentils (cooked),,X,,X,,,,,,
Brown rice,,X,,,,,,,,X
Bulgur,,X,,,,,,,,
Butter or HO margarine,,,,,,,,,,
Canned in spring water,,,,,,,,,,
Cashew cream,,,,,,X,,,,
Chickpea + aubergine mix,,X,,X,,,,,X,
Chickpea flour (partial),,X,,X,,,,,,
Coconut aminos,,,,,,,,,,
Courgette (grated),,X,,,,,,,X,
Evaporated milk,,,,,X,,,,,
Extra virgin rapeseed oil,,,,,,,X,X,,
Firm tofu,,X,,X,,,,,,
Firm tofu cubes,,X,,X,,,,,,
Flaxseed oil,,,,,,,X,X,,
Fortified oat drink,,,,,,,,,,
Fortified plant drink,,,,,,,,,,
Fresh tuna,,,,,,,,X,,
Greek yogurt (30–50% swap),X,,,,,,,,,
Grilled portobello,,X,,,,,,,X,
Half brown/half white,,,,,,,,,,
Half butter/half oil,,,,,,,,,,
Half cube + extra herbs,,,,,,,,,,
Half tuna + half beans,,X,,X,,,,X,,
Homemade veg stock,,,,,,,,,X,
Hummus + walnut,,,,,,X,,,,
Jackfruit chunks,,,X,,,,,,,
Lentil–oat burger mix,,,,X,,,,,,
Low-fat milk,X,,,,X,,,,,
Low-fat yogurt,X,,,,,,,,,
Low-salt stock,,,,,,,,,,
Low-sodium soy sauce,,,,,,,,,,
Mackerel,,,,,,,,X,,
Miso paste + water,,,,,,,,,,
Mushroom + soy sauce,,,,,,,,,X,
Mushrooms + carrot + pepper,,X,,,,,,,X,
Mushroom–lentil mix,,X,,,,,,,,
Neutral oil (75% of butter weight),,,,,,,,,,
Oat flour (partial),,X,,,,,,,X,
Olive oil,,,,,,,X,,,
Olive oil + smoked paprika,,,,,,,X,,,
Olive oil swap (partial),,,,,,,X,,,
Paneer (if dairy ok),,,,,,,,,,
Pulse flour blend (20–30%),,X,,X,,,,,,
Pulse pasta,,X,,X,,,,,,
Pumpkin seeds,,X,,,,X,,,,
Quinoa,,X,,,,,,,X,
Rapeseed oil,,,,,,,X,X,,
Replace 50–100% with soy mince,,,,,,,,,,
Roasted chickpea spread,,X,,X,,,,,,
Salmon,,,,,,,X,X,,
Sardines,,,,,,,,X,,
Seitan,,,,,,,,,,
Seitan chunks,,,,,,,,,,
Seitan steak,,,,,,,,,,
Silken tofu cream,,,,,,,,,,
Skimmed milk + roux,,,,,,,,,,
Skyr/yogurt,X,,,,,,,,,
Smoked tofu cubes,,,,,,,,,,
Sourdough wholegrain,,X,,,,,,,,
Soy mince,,,,,,,,,,
Sparkling water,,,,,,,,,,
Spelt (partial),,,,,,,,,,
Spinach (chopped),,X,,,,,,,X,
Sunflower seeds,,X,,,,X,,,,
Swap 50% pasta → veg noodles,,X,,,,,,,X,
Tempeh,,X,,X,,,,,,
Tofu cubes,,,,,,,,,,
Tofu steak,,,,,,,,,,
Unsweetened tea,,,,,,,,,,
Walnut oil,,,,,,,,X,,
Walnuts,,X,,,,X,,X,,
Water + fruit infusion,,,X,,,,,,,
Whole grain flour (blend 50%),,X,,,,,,,,X
Wholegrain bread,,X,,,,,,,,X
Wholegrain pasta,,X,,,,,,,,X
Wholemeal flour (25–50%),,X,,,,,,,,X
Wholewheat couscous,,X,,,,,,,,X
Young jackfruit chunks,,X,,,,,,,X,
