Recommendation,Component for scoring,Translation of recommendation,Translation of component for scoring
Decrease processed meat,processed meat,Sumažinkite perdirbtos mėsos kiekį,Perdirbta mėsa
Decrease red meat,red meat,Sumažinkite žalios (neapdirbtos) mėsos kiekį,Žalia (neapdirbta) mėsa
Decrease sodium,sodium,Sumažinkite druskos kiekį,Druska
Decrease sugar-sweetened beverages,sugar-sweetened beverages,Sumažinkite cukrumi saldintų gėrimų kiekį,Saldinti gėrimai
Decrease trans fatty acids,trans fatty acids,Sumažinkite transriebalų rūgščių,Transriebalų rūgštys
Diet low in calcium,calcium,Mažai kalcio turinti dieta,Kalcis
Diet low in fiber,fiber,Mažai skaidulų turinti dieta,Skaidulos
Diet low in fruits,fruits,"Dieta, kurioje mažai vaisių",Vaisiai
Diet low in legumes,legumes,Mažai ankštinių daržovių turinti dieta,Ankštinės daržovės
Diet low in milk,milk,"Dieta, kurioje mažai pieno",Pienas
Diet low in nuts and seeds,nuts and seeds,Mažai riešutų ir sėklų turinti dieta,Riešutai ir sėklos
Diet low in omega-6 polyunsaturated fatty acids,omega-6 polyunsaturated fatty acids,"Dieta, kurioje mažai omega-6 polinesočiųjų riebalų rūgščių",Omega-6 polinesočiųjų riebalų rūgštys
Diet low in seafood omega-3 fatty acids,seafood omega-3 fatty acids,"Dieta, kurioje mažai jūros gėrybių omega-3 riebalų rūgščių",Jūros gėrybių Omega-3 riebalų rūgštys
Diet low in vegetables,vegetables,"Dieta, kurioje mažai daržovių",Daržovės
Diet low in whole grains,whole grains,"Dieta, kurioje mažai pilnagrūdžių produktų",Pilno grūdo produktai
